2024-11-23 16:53:00 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 17:02:51 - Latitud Promedio: -17.778747, Longitud Promedio: -63.157137
2024-11-23 17:02:52 - Latitud Promedio: -17.778746, Longitud Promedio: -63.157144
2024-11-23 17:02:53 - Latitud Promedio: -17.778747, Longitud Promedio: -63.157151
2024-11-23 17:02:54 - Latitud Promedio: -17.778748, Longitud Promedio: -63.157157
2024-11-23 17:02:55 - Latitud Promedio: -17.778749, Longitud Promedio: -63.157172
2024-11-23 17:02:56 - Latitud Promedio: -17.778749, Longitud Promedio: -63.157175
2024-11-23 17:02:57 - Latitud Promedio: -17.778752, Longitud Promedio: -63.157170
2024-11-23 17:02:58 - Latitud Promedio: -17.778756, Longitud Promedio: -63.157170
2024-11-23 17:02:59 - Latitud Promedio: -17.778760, Longitud Promedio: -63.157170
2024-11-23 17:03:00 - Latitud Promedio: -17.778765, Longitud Promedio: -63.157170
2024-11-23 17:03:01 - Latitud Promedio: -17.778769, Longitud Promedio: -63.157172
2024-11-23 17:03:02 - Latitud Promedio: -17.778775, Longitud Promedio: -63.157173
2024-11-23 17:03:03 - Latitud Promedio: -17.778786, Longitud Promedio: -63.157176
2024-11-23 17:03:04 - Latitud Promedio: -17.778793, Longitud Promedio: -63.157177
2024-11-23 17:03:05 - Latitud Promedio: -17.778802, Longitud Promedio: -63.157178
2024-11-23 17:03:06 - Latitud Promedio: -17.778810, Longitud Promedio: -63.157179
2024-11-23 17:03:07 - Latitud Promedio: -17.778817, Longitud Promedio: -63.157180
2024-11-23 17:03:08 - Latitud Promedio: -17.778819, Longitud Promedio: -63.157174
2024-11-23 17:03:09 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157168
2024-11-23 17:03:11 - Latitud Promedio: -17.778825, Longitud Promedio: -63.157163
2024-11-23 17:03:12 - Latitud Promedio: -17.778826, Longitud Promedio: -63.157160
2024-11-23 17:03:13 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157158
2024-11-23 17:03:14 - Latitud Promedio: -17.778825, Longitud Promedio: -63.157159
2024-11-23 17:03:15 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157157
2024-11-23 17:03:16 - Latitud Promedio: -17.778824, Longitud Promedio: -63.157151
2024-11-23 17:03:17 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157141
2024-11-23 17:03:18 - Latitud Promedio: -17.778828, Longitud Promedio: -63.157131
2024-11-23 17:03:19 - Latitud Promedio: -17.778829, Longitud Promedio: -63.157124
2024-11-23 17:03:20 - Latitud Promedio: -17.778831, Longitud Promedio: -63.157117
2024-11-23 17:03:21 - Latitud Promedio: -17.778833, Longitud Promedio: -63.157115
2024-11-23 17:03:22 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157113
2024-11-23 17:03:23 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157112
2024-11-23 17:03:24 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157107
2024-11-23 17:03:25 - Latitud Promedio: -17.778836, Longitud Promedio: -63.157105
2024-11-23 17:03:26 - Latitud Promedio: -17.778837, Longitud Promedio: -63.157102
2024-11-23 17:03:28 - Latitud Promedio: -17.778838, Longitud Promedio: -63.157099
2024-11-23 17:03:29 - Latitud Promedio: -17.778847, Longitud Promedio: -63.157096
2024-11-23 17:03:30 - Latitud Promedio: -17.778858, Longitud Promedio: -63.157098
2024-11-23 17:03:31 - Latitud Promedio: -17.778865, Longitud Promedio: -63.157102
2024-11-23 17:03:32 - Latitud Promedio: -17.778869, Longitud Promedio: -63.157101
2024-11-23 17:03:33 - Latitud Promedio: -17.778873, Longitud Promedio: -63.157092
2024-11-23 17:03:34 - Latitud Promedio: -17.778881, Longitud Promedio: -63.157084
2024-11-23 17:03:35 - Latitud Promedio: -17.778882, Longitud Promedio: -63.157079
2024-11-23 17:03:36 - Latitud Promedio: -17.778881, Longitud Promedio: -63.157072
2024-11-23 17:03:37 - Latitud Promedio: -17.778882, Longitud Promedio: -63.157066
2024-11-23 17:03:38 - Latitud Promedio: -17.778879, Longitud Promedio: -63.157059
2024-11-23 17:03:39 - Latitud Promedio: -17.778871, Longitud Promedio: -63.157048
2024-11-23 17:03:41 - Latitud Promedio: -17.778862, Longitud Promedio: -63.157039
2024-11-23 17:03:42 - Latitud Promedio: -17.778854, Longitud Promedio: -63.157038
2024-11-23 17:03:43 - Latitud Promedio: -17.778843, Longitud Promedio: -63.157038
2024-11-23 17:03:44 - Latitud Promedio: -17.778832, Longitud Promedio: -63.157034
2024-11-23 17:03:45 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157027
2024-11-23 17:03:46 - Latitud Promedio: -17.778810, Longitud Promedio: -63.157024
2024-11-23 17:03:47 - Latitud Promedio: -17.778804, Longitud Promedio: -63.157020
2024-11-23 17:03:48 - Latitud Promedio: -17.778801, Longitud Promedio: -63.157021
2024-11-23 17:03:49 - Latitud Promedio: -17.778797, Longitud Promedio: -63.157022
2024-11-23 17:03:50 - Latitud Promedio: -17.778793, Longitud Promedio: -63.157026
2024-11-23 17:03:51 - Latitud Promedio: -17.778788, Longitud Promedio: -63.157029
2024-11-23 17:03:52 - Latitud Promedio: -17.778781, Longitud Promedio: -63.157035
2024-11-23 17:03:53 - Latitud Promedio: -17.778773, Longitud Promedio: -63.157040
2024-11-23 17:03:54 - Latitud Promedio: -17.778763, Longitud Promedio: -63.157041
2024-11-23 17:03:55 - Latitud Promedio: -17.778758, Longitud Promedio: -63.157037
2024-11-23 17:03:56 - Latitud Promedio: -17.778759, Longitud Promedio: -63.157033
2024-11-23 17:03:58 - Latitud Promedio: -17.778762, Longitud Promedio: -63.157033
2024-11-23 17:03:59 - Latitud Promedio: -17.778767, Longitud Promedio: -63.157027
2024-11-23 17:04:00 - Latitud Promedio: -17.778775, Longitud Promedio: -63.157016
2024-11-23 17:04:01 - Latitud Promedio: -17.778779, Longitud Promedio: -63.157007
2024-11-23 17:04:02 - Latitud Promedio: -17.778785, Longitud Promedio: -63.156996
2024-11-23 17:04:03 - Latitud Promedio: -17.778790, Longitud Promedio: -63.156987
2024-11-23 17:04:04 - Latitud Promedio: -17.778795, Longitud Promedio: -63.156979
2024-11-23 17:04:05 - Latitud Promedio: -17.778804, Longitud Promedio: -63.156969
2024-11-23 17:04:06 - Latitud Promedio: -17.778814, Longitud Promedio: -63.156962
2024-11-23 17:04:07 - Latitud Promedio: -17.778821, Longitud Promedio: -63.156957
2024-11-23 17:04:08 - Latitud Promedio: -17.778826, Longitud Promedio: -63.156956
2024-11-23 17:04:09 - Latitud Promedio: -17.778831, Longitud Promedio: -63.156957
2024-11-23 17:04:10 - Latitud Promedio: -17.778833, Longitud Promedio: -63.156957
2024-11-23 17:04:12 - Latitud Promedio: -17.778839, Longitud Promedio: -63.156953
2024-11-23 17:04:13 - Latitud Promedio: -17.778843, Longitud Promedio: -63.156945
2024-11-23 17:04:14 - Latitud Promedio: -17.778846, Longitud Promedio: -63.156936
2024-11-23 17:04:15 - Latitud Promedio: -17.778849, Longitud Promedio: -63.156933
2024-11-23 17:04:16 - Latitud Promedio: -17.778849, Longitud Promedio: -63.156931
2024-11-23 17:04:17 - Latitud Promedio: -17.778849, Longitud Promedio: -63.156931
2024-11-23 17:04:18 - Latitud Promedio: -17.778848, Longitud Promedio: -63.156932
2024-11-23 17:04:19 - Latitud Promedio: -17.778847, Longitud Promedio: -63.156941
2024-11-23 17:04:20 - Latitud Promedio: -17.778844, Longitud Promedio: -63.156946
2024-11-23 17:04:21 - Latitud Promedio: -17.778839, Longitud Promedio: -63.156955
2024-11-23 17:04:22 - Latitud Promedio: -17.778834, Longitud Promedio: -63.156962
2024-11-23 17:04:23 - Latitud Promedio: -17.778829, Longitud Promedio: -63.156966
2024-11-23 17:04:24 - Latitud Promedio: -17.778827, Longitud Promedio: -63.156969
2024-11-23 17:04:25 - Latitud Promedio: -17.778828, Longitud Promedio: -63.156970
2024-11-23 17:04:26 - Latitud Promedio: -17.778832, Longitud Promedio: -63.156967
2024-11-23 17:04:27 - Latitud Promedio: -17.778836, Longitud Promedio: -63.156967
2024-11-23 17:04:29 - Latitud Promedio: -17.778843, Longitud Promedio: -63.156966
2024-11-23 17:04:30 - Latitud Promedio: -17.778850, Longitud Promedio: -63.156963
2024-11-23 17:04:31 - Latitud Promedio: -17.778857, Longitud Promedio: -63.156962
2024-11-23 17:04:32 - Latitud Promedio: -17.778863, Longitud Promedio: -63.156962
2024-11-23 17:04:33 - Latitud Promedio: -17.778867, Longitud Promedio: -63.156960
2024-11-23 17:04:34 - Latitud Promedio: -17.778868, Longitud Promedio: -63.156961
2024-11-23 17:04:35 - Latitud Promedio: -17.778861, Longitud Promedio: -63.156962
2024-11-23 17:04:36 - Latitud Promedio: -17.778851, Longitud Promedio: -63.156962
2024-11-23 17:04:37 - Latitud Promedio: -17.778844, Longitud Promedio: -63.156965
2024-11-23 17:04:38 - Latitud Promedio: -17.778841, Longitud Promedio: -63.156975
2024-11-23 17:04:39 - Latitud Promedio: -17.778834, Longitud Promedio: -63.156985
2024-11-23 17:04:40 - Latitud Promedio: -17.778832, Longitud Promedio: -63.156989
2024-11-23 17:04:41 - Latitud Promedio: -17.778834, Longitud Promedio: -63.156992
2024-11-23 17:04:42 - Latitud Promedio: -17.778840, Longitud Promedio: -63.156996
2024-11-23 17:04:44 - Latitud Promedio: -17.778845, Longitud Promedio: -63.157001
2024-11-23 17:04:45 - Latitud Promedio: -17.778845, Longitud Promedio: -63.157004
2024-11-23 17:04:46 - Latitud Promedio: -17.778843, Longitud Promedio: -63.157004
2024-11-23 17:04:47 - Latitud Promedio: -17.778841, Longitud Promedio: -63.157004
2024-11-23 17:04:48 - Latitud Promedio: -17.778839, Longitud Promedio: -63.157005
2024-11-23 17:04:49 - Latitud Promedio: -17.778837, Longitud Promedio: -63.157004
2024-11-23 17:04:50 - Latitud Promedio: -17.778834, Longitud Promedio: -63.157004
2024-11-23 17:04:51 - Latitud Promedio: -17.778829, Longitud Promedio: -63.156999
2024-11-23 17:04:52 - Latitud Promedio: -17.778822, Longitud Promedio: -63.156992
2024-11-23 17:04:53 - Latitud Promedio: -17.778819, Longitud Promedio: -63.156987
2024-11-23 17:04:54 - Latitud Promedio: -17.778817, Longitud Promedio: -63.156985
2024-11-23 17:04:55 - Latitud Promedio: -17.778815, Longitud Promedio: -63.156985
2024-11-23 17:04:56 - Latitud Promedio: -17.778812, Longitud Promedio: -63.156991
2024-11-23 17:04:57 - Latitud Promedio: -17.778810, Longitud Promedio: -63.156995
2024-11-23 17:04:58 - Latitud Promedio: -17.778809, Longitud Promedio: -63.157001
2024-11-23 17:04:59 - Latitud Promedio: -17.778807, Longitud Promedio: -63.157004
2024-11-23 17:05:01 - Latitud Promedio: -17.778805, Longitud Promedio: -63.157007
2024-11-23 17:05:02 - Latitud Promedio: -17.778802, Longitud Promedio: -63.157008
2024-11-23 17:05:03 - Latitud Promedio: -17.778800, Longitud Promedio: -63.157007
2024-11-23 17:05:04 - Latitud Promedio: -17.778800, Longitud Promedio: -63.157006
2024-11-23 17:05:05 - Latitud Promedio: -17.778800, Longitud Promedio: -63.157000
2024-11-23 17:05:06 - Latitud Promedio: -17.778798, Longitud Promedio: -63.156992
2024-11-23 17:05:07 - Latitud Promedio: -17.778798, Longitud Promedio: -63.156983
2024-11-23 17:05:08 - Latitud Promedio: -17.778797, Longitud Promedio: -63.156980
2024-11-23 17:05:09 - Latitud Promedio: -17.778796, Longitud Promedio: -63.156978
2024-11-23 17:05:10 - Latitud Promedio: -17.778797, Longitud Promedio: -63.156979
2024-11-23 17:05:11 - Latitud Promedio: -17.778797, Longitud Promedio: -63.156976
2024-11-23 17:05:12 - Latitud Promedio: -17.778795, Longitud Promedio: -63.156976
2024-11-23 17:05:13 - Latitud Promedio: -17.778795, Longitud Promedio: -63.156976
2024-11-23 17:05:14 - Latitud Promedio: -17.778794, Longitud Promedio: -63.156977
2024-11-23 17:05:15 - Latitud Promedio: -17.778792, Longitud Promedio: -63.156979
2024-11-23 17:05:16 - Latitud Promedio: -17.778795, Longitud Promedio: -63.156977
2024-11-23 17:05:18 - Latitud Promedio: -17.778795, Longitud Promedio: -63.156973
2024-11-23 17:05:19 - Latitud Promedio: -17.778799, Longitud Promedio: -63.156969
2024-11-23 17:05:20 - Latitud Promedio: -17.778804, Longitud Promedio: -63.156969
2024-11-23 17:05:21 - Latitud Promedio: -17.778804, Longitud Promedio: -63.156968
2024-11-23 17:05:22 - Latitud Promedio: -17.778805, Longitud Promedio: -63.156964
2024-11-23 17:05:23 - Latitud Promedio: -17.778809, Longitud Promedio: -63.156964
2024-11-23 17:05:24 - Latitud Promedio: -17.778816, Longitud Promedio: -63.156969
2024-11-23 17:05:25 - Latitud Promedio: -17.778826, Longitud Promedio: -63.156978
2024-11-23 17:05:26 - Latitud Promedio: -17.778833, Longitud Promedio: -63.156989
2024-11-23 17:05:27 - Latitud Promedio: -17.778837, Longitud Promedio: -63.156998
2024-11-23 17:05:28 - Latitud Promedio: -17.778840, Longitud Promedio: -63.157004
2024-11-23 17:05:29 - Latitud Promedio: -17.778842, Longitud Promedio: -63.157008
2024-11-23 17:05:30 - Latitud Promedio: -17.778848, Longitud Promedio: -63.157014
2024-11-23 17:05:31 - Latitud Promedio: -17.778854, Longitud Promedio: -63.157018
2024-11-23 17:05:32 - Latitud Promedio: -17.778855, Longitud Promedio: -63.157020
2024-11-23 17:07:30 - Latitud Promedio: -17.778861, Longitud Promedio: -63.157000
2024-11-23 17:07:31 - Latitud Promedio: -17.778858, Longitud Promedio: -63.157000
2024-11-23 17:07:33 - Latitud Promedio: -17.778850, Longitud Promedio: -63.156999
2024-11-23 17:07:34 - Latitud Promedio: -17.778845, Longitud Promedio: -63.156999
2024-11-23 17:07:35 - Latitud Promedio: -17.778841, Longitud Promedio: -63.156999
2024-11-23 17:07:36 - Latitud Promedio: -17.778840, Longitud Promedio: -63.157002
2024-11-23 17:07:37 - Latitud Promedio: -17.778838, Longitud Promedio: -63.157005
2024-11-23 17:07:38 - Latitud Promedio: -17.778835, Longitud Promedio: -63.157009
2024-11-23 17:07:39 - Latitud Promedio: -17.778833, Longitud Promedio: -63.157012
2024-11-23 17:07:40 - Latitud Promedio: -17.778832, Longitud Promedio: -63.157014
2024-11-23 17:07:41 - Latitud Promedio: -17.778830, Longitud Promedio: -63.157014
2024-11-23 17:07:42 - Latitud Promedio: -17.778827, Longitud Promedio: -63.157015
2024-11-23 17:07:43 - Latitud Promedio: -17.778821, Longitud Promedio: -63.157015
2024-11-23 17:07:44 - Latitud Promedio: -17.778813, Longitud Promedio: -63.157016
2024-11-23 17:07:45 - Latitud Promedio: -17.778804, Longitud Promedio: -63.157015
2024-11-23 17:07:46 - Latitud Promedio: -17.778797, Longitud Promedio: -63.157015
2024-11-23 17:07:47 - Latitud Promedio: -17.778794, Longitud Promedio: -63.157018
2024-11-23 17:07:48 - Latitud Promedio: -17.778792, Longitud Promedio: -63.157021
2024-11-23 17:07:49 - Latitud Promedio: -17.778792, Longitud Promedio: -63.157024
2024-11-23 17:07:50 - Latitud Promedio: -17.778792, Longitud Promedio: -63.157026
2024-11-23 17:07:52 - Latitud Promedio: -17.778792, Longitud Promedio: -63.157028
2024-11-23 17:07:53 - Latitud Promedio: -17.778793, Longitud Promedio: -63.157030
2024-11-23 17:07:54 - Latitud Promedio: -17.778793, Longitud Promedio: -63.157029
2024-11-23 17:07:55 - Latitud Promedio: -17.778792, Longitud Promedio: -63.157024
2024-11-23 17:07:56 - Latitud Promedio: -17.778787, Longitud Promedio: -63.157016
2024-11-23 17:07:57 - Latitud Promedio: -17.778783, Longitud Promedio: -63.157009
2024-11-23 17:07:58 - Latitud Promedio: -17.778776, Longitud Promedio: -63.157003
2024-11-23 17:07:59 - Latitud Promedio: -17.778769, Longitud Promedio: -63.157001
2024-11-23 17:08:00 - Latitud Promedio: -17.778760, Longitud Promedio: -63.157001
2024-11-23 17:08:01 - Latitud Promedio: -17.778755, Longitud Promedio: -63.157005
2024-11-23 17:08:02 - Latitud Promedio: -17.778752, Longitud Promedio: -63.157009
2024-11-23 17:08:03 - Latitud Promedio: -17.778750, Longitud Promedio: -63.157013
2024-11-23 17:08:04 - Latitud Promedio: -17.778745, Longitud Promedio: -63.157025
2024-11-23 17:08:05 - Latitud Promedio: -17.778739, Longitud Promedio: -63.157037
2024-11-23 17:08:06 - Latitud Promedio: -17.778733, Longitud Promedio: -63.157049
2024-11-23 17:08:07 - Latitud Promedio: -17.778731, Longitud Promedio: -63.157061
2024-11-23 17:08:09 - Latitud Promedio: -17.778728, Longitud Promedio: -63.157070
2024-11-23 17:08:10 - Latitud Promedio: -17.778721, Longitud Promedio: -63.157078
2024-11-23 17:08:11 - Latitud Promedio: -17.778717, Longitud Promedio: -63.157084
2024-11-23 17:08:12 - Latitud Promedio: -17.778714, Longitud Promedio: -63.157086
2024-11-23 17:08:13 - Latitud Promedio: -17.778712, Longitud Promedio: -63.157089
2024-11-23 17:08:14 - Latitud Promedio: -17.778713, Longitud Promedio: -63.157088
2024-11-23 17:08:15 - Latitud Promedio: -17.778714, Longitud Promedio: -63.157081
2024-11-23 17:08:16 - Latitud Promedio: -17.778710, Longitud Promedio: -63.157072
2024-11-23 17:08:17 - Latitud Promedio: -17.778706, Longitud Promedio: -63.157071
2024-11-23 17:08:18 - Latitud Promedio: -17.778702, Longitud Promedio: -63.157080
2024-11-23 17:08:19 - Latitud Promedio: -17.778704, Longitud Promedio: -63.157089
2024-11-23 17:08:20 - Latitud Promedio: -17.778706, Longitud Promedio: -63.157092
2024-11-23 17:08:21 - Latitud Promedio: -17.778709, Longitud Promedio: -63.157091
2024-11-23 17:08:22 - Latitud Promedio: -17.778709, Longitud Promedio: -63.157094
2024-11-23 17:08:23 - Latitud Promedio: -17.778708, Longitud Promedio: -63.157100
2024-11-23 17:08:24 - Latitud Promedio: -17.778705, Longitud Promedio: -63.157103
2024-11-23 17:08:25 - Latitud Promedio: -17.778702, Longitud Promedio: -63.157107
2024-11-23 17:08:26 - Latitud Promedio: -17.778700, Longitud Promedio: -63.157112
2024-11-23 17:08:27 - Latitud Promedio: -17.778700, Longitud Promedio: -63.157123
2024-11-23 17:08:28 - Latitud Promedio: -17.778697, Longitud Promedio: -63.157131
2024-11-23 17:08:29 - Latitud Promedio: -17.778696, Longitud Promedio: -63.157136
2024-11-23 17:08:30 - Latitud Promedio: -17.778694, Longitud Promedio: -63.157140
2024-11-23 17:08:31 - Latitud Promedio: -17.778693, Longitud Promedio: -63.157143
2024-11-23 17:08:32 - Latitud Promedio: -17.778692, Longitud Promedio: -63.157142
2024-11-23 17:08:33 - Latitud Promedio: -17.778689, Longitud Promedio: -63.157137
2024-11-23 17:08:34 - Latitud Promedio: -17.778690, Longitud Promedio: -63.157138
2024-11-23 17:08:35 - Latitud Promedio: -17.778692, Longitud Promedio: -63.157138
2024-11-23 17:08:36 - Latitud Promedio: -17.778698, Longitud Promedio: -63.157140
2024-11-23 17:08:38 - Latitud Promedio: -17.778705, Longitud Promedio: -63.157145
2024-11-23 17:08:39 - Latitud Promedio: -17.778709, Longitud Promedio: -63.157148
2024-11-23 17:08:40 - Latitud Promedio: -17.778714, Longitud Promedio: -63.157154
2024-11-23 17:08:41 - Latitud Promedio: -17.778719, Longitud Promedio: -63.157155
2024-11-23 17:08:42 - Latitud Promedio: -17.778719, Longitud Promedio: -63.157152
2024-11-23 17:08:43 - Latitud Promedio: -17.778720, Longitud Promedio: -63.157146
2024-11-23 17:08:44 - Latitud Promedio: -17.778719, Longitud Promedio: -63.157144
2024-11-23 17:08:45 - Latitud Promedio: -17.778717, Longitud Promedio: -63.157142
2024-11-23 17:08:46 - Latitud Promedio: -17.778716, Longitud Promedio: -63.157142
2024-11-23 17:08:47 - Latitud Promedio: -17.778715, Longitud Promedio: -63.157142
2024-11-23 17:08:48 - Latitud Promedio: -17.778714, Longitud Promedio: -63.157140
2024-11-23 17:08:49 - Latitud Promedio: -17.778717, Longitud Promedio: -63.157139
2024-11-23 17:08:50 - Latitud Promedio: -17.778721, Longitud Promedio: -63.157136
2024-11-23 17:08:51 - Latitud Promedio: -17.778726, Longitud Promedio: -63.157132
2024-11-23 17:08:52 - Latitud Promedio: -17.778729, Longitud Promedio: -63.157130
2024-11-23 17:08:53 - Latitud Promedio: -17.778730, Longitud Promedio: -63.157125
2024-11-23 17:08:54 - Latitud Promedio: -17.778729, Longitud Promedio: -63.157121
2024-11-23 17:08:56 - Latitud Promedio: -17.778729, Longitud Promedio: -63.157117
2024-11-23 17:08:57 - Latitud Promedio: -17.778734, Longitud Promedio: -63.157113
2024-11-23 17:08:58 - Latitud Promedio: -17.778741, Longitud Promedio: -63.157108
2024-11-23 17:08:59 - Latitud Promedio: -17.778753, Longitud Promedio: -63.157104
2024-11-23 17:09:00 - Latitud Promedio: -17.778770, Longitud Promedio: -63.157104
2024-11-23 17:09:01 - Latitud Promedio: -17.778781, Longitud Promedio: -63.157105
